,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept"
147,EXPD,2020-03-25,0.1438191804557823,0.08617453945933892,0.11499685995756061,64.4000015258789,12.53105512983772,2639366.6666666665,47.52537708210732,[ 0.78766109 33.14731071],27.123616390884354,[ 0.115616  15.8924649],-0.1162002909804496,[ 0.31546239 -1.3484295 ]
185,GE,2020-08-10,0.14946235879309383,0.09405550174816267,0.12175893027062826,6.670000076293945,0.8995493567202297,93849600.0,50.76169232090606,[ 2.12317763 34.15412569],32.98924717586188,[ 7.33261183 10.61246007],-0.006650059476966758,[ 0.01602767 -0.07070357]
2,MMM,2020-03-04,0.22403348516050148,0.037959217034214246,0.13099635109735785,153.97999572753906,-0.21431474231146977,7748100.0,45.39360427418863,[ 1.87029967 26.52312987],25.51933029678997,[ 3.83082808 14.01989874],-0.02327684177084155,[ 0.09029869 -0.61320658]
79,CAT,2020-02-11,0.16766342376124577,0.10102862630747213,0.13434602503435894,136.19000244140625,2.591966161991667,3460450.0,44.255404021527404,[ 2.73767329 30.29637041],33.353268475224915,[ 5.712535   23.61387181],-0.04783512408120405,[ 0.08381885 -0.47348089]
29,ALK,2020-10-08,0.007728900575880537,0.2640188224430808,0.13587386150948066,38.630001068115234,7.61066152062736,2302800.0,52.51223179400544,[ 0.22898968 43.75218575],30.15457801151761,[ 0.81204941 24.29524739],-0.08016036450230124,[ 0.02452021 -0.3036161 ]
66,BA,2020-09-17,0.21580216244149958,0.06616934769707658,0.14098575506928807,167.52999877929688,0.328301233071925,17527983.333333332,48.75809008892381,[ 2.15218696 37.14798078],34.31604324882999,[ 7.48153327 11.90540281],-0.07549300431428785,[ 0.34563857 -1.14090598]
104,DAL,2020-02-06,0.026398519572645718,0.26537009876256934,0.14588430916760753,58.18000030517578,2.217258351256116,6901716.666666667,49.38097396538903,[ 2.66312048 35.84616009],29.472029608547086,[ 2.05629868 14.23110103],-0.1515211493452098,[ 0.16715457 -0.57098049]
57,AOS,2020-03-27,0.13487554903825902,0.17984645521175996,0.15736100212500947,36.849998474121094,9.145191007127739,2602566.6666666665,41.68966758916298,[ 1.35675935 35.62365721],32.69751098076518,[ 3.04274038 20.00948377],-0.0636439446728887,[ 0.11067296 -0.35387934]
52,AME,2020-03-25,0.19740231062195246,0.11794757923466415,0.1576749449283083,71.0,10.183103319624779,3201000.0,43.634599585983004,[ 0.89005627 31.71113043],26.05195378756095,[ 0.27932212 25.75503277],-0.19364424246282397,[ 0.28255627 -1.64178225]
157,FAST,2020-09-25,0.1537012652521767,0.16891464474223195,0.16130795499720432,44.880001068115234,3.8992868947217527,3888300.0,45.961501781787895,[ 1.01491053 36.98772567],26.925974694956466,[ 2.76077599 13.33464628],-0.03748541359662583,[ 0.0504692  -0.22191926]
170,FTV,2020-05-19,0.0759898940608105,0.27193618150067617,0.17396303778074335,49.46443557739258,13.48333687442666,2231483.3333333335,51.33345975437657,[ 0.48364287 43.46455729],28.48020211878379,[ 2.75526173 11.40206061],-0.16875396057254183,[ 0.12215485 -0.62056457]
3,MMM,2020-05-19,0.18180170119961617,0.1682152608442724,0.17500848102194427,148.3800048828125,8.64671883599651,5483416.666666667,54.02002728089591,[ 0.7811193  42.38641054],33.63603402399232,[3.69303634 9.14495431],-0.3049977559047409,[ 0.44692523 -1.81313963]
69,BA,2020-11-05,0.07100760737481711,0.30807437497260926,0.18954099117371317,157.08999633789062,33.713163122082946,14609650.0,48.096448782101014,[ 2.0244907 32.3125223],31.420152147496342,[7.58162441 6.49672904],-0.6561288873606537,[ 0.43431659 -2.1297743 ]
72,CHRW,2020-03-18,0.2577045964428688,0.14264034681413815,0.2001724716285035,64.8499984741211,6.27602126536423,2566350.0,43.1705817265195,[ 1.23816722 31.17232996],35.154091928857376,[ 4.58673277 18.23631212],-0.10552099521965586,[ 0.16881655 -0.73976962]
65,BA,2020-09-16,0.14169455000705114,0.2732240380328503,0.20745929401995072,167.4600067138672,0.23885935772583003,17656533.333333332,48.68135712469883,[ 1.35829816 37.5977428 ],27.166108999858977,[ 3.0473527  11.51653085],-0.41088715883177374,[ 0.33277506 -1.50384703]
176,GD,2020-03-26,0.33352139564395245,0.08238730264308364,0.20795434914351804,133.16000366210938,5.895156675307508,3288966.6666666665,43.66741512915801,[ 1.54492376 23.40957417],23.32957208712095,[1.78926028 9.9103118 ],-0.33894951291279085,[ 0.9793768  -4.11409892]
163,FDX,2020-05-19,0.1333839530603143,0.29125768738406593,0.21232082022219012,114.79000091552734,20.289224435729547,2757900.0,47.0021283924067,[ 0.26653285 41.82669345],27.332320938793714,[3.10808817 9.46501963],-0.4193273637944972,[ 0.31466842 -1.4397126 ]
39,AAL,2020-07-16,0.20525554333178314,0.2307865344707777,0.21802103890128044,12.449999809265137,-4.3373491576374645,84254900.0,47.255269360957456,[ 1.67955903 38.97910023],34.10511086663566,[7.1305726  8.66694992],-0.08366841122291457,[ 0.1040592  -0.36253593]
43,AAL,2020-07-29,0.4244429270426432,0.012778937156680492,0.21861093209966184,11.399999618530273,22.807021653259735,68054633.33333333,43.55748170688234,[ 0.43771699 42.56652496],21.511141459147137,[ 1.24384552 19.15671708],-0.0007629221518591356,[ 0.02461285 -0.05970153]
