,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,RSI,k_fast,d_fast,k_slow,d_slow,d_div,MACD line,Sig Line,MACD_Div,RSI_slope,d_slow_slope,MACD_Div_slope,MACD_Div_intercept,avg_volume,Price_Delta,Vol and RSI criteria,CBI_SS,CBI_MACD,CBI,Security,GICS Sector,Sell_Price,Sell_Date,Holding_Period,Profit or Loss,CBI_cutoff
0,2020-05-19,148.5,151.64999389648438,147.3699951171875,148.3800048828125,143.1690216064453,4059900.0,MMM,54.014222938839396,72.46013626568478,52.839054642863765,52.839054642863765,33.63603402399233,19.203020618871435,-0.41252369183521864,-0.10972683596245146,-0.30279685587276717,1.5273091814158704,7.716627547716317,0.49694479818094917,-1.8438483547215079,5279857.142857143,2.6957810138630998,True,0.18180170119961653,0.16422004287793024,0.17301087203877338,3M Company,Industrials,152.3800048828125,2020-06-11 00:00:00,23.0,Profit,Below
1,2020-07-01,156.33999633789062,157.8000030517578,155.30999755859375,155.42999267578125,151.45889282226562,1625600.0,MMM,50.006392777427486,40.13544474548384,38.73880573377025,38.73880573377025,30.514866750367542,8.223938983402707,0.3429152993818434,1.1523008674634683,-0.8093855680816249,0.1528573063796833,2.7755047481963757,0.16098370856925057,-1.2727475308855754,2420571.4285714286,1.524808909256194,True,0.025743337518377096,0.6359356812253691,0.3308395093718731,3M Company,Industrials,157.8000030517578,2020-07-21 00:00:00,20.0,Profit,Above
2,2020-07-02,157.6199951171875,158.8800048828125,156.4600067138672,157.0399932861328,153.02774047851562,1982800.0,MMM,52.571639475926105,52.25894443180539,45.582266098904846,45.582266098904846,38.06600102948972,7.516265069415127,0.39874824934150865,1.0015903438390763,-0.6028420944975676,1.1091287525198252,5.9951617267249855,0.16254796758759546,-1.1045040995086124,2375000.0,0.48395937220923935,True,0.40330005147448594,0.5458034015136464,0.4745517264940662,3M Company,Industrials,157.8000030517578,2020-07-21 00:00:00,19.0,Profit,Above
3,2020-07-06,158.8699951171875,159.9600067138672,157.0500030517578,158.10000610351562,154.0606689453125,2099500.0,MMM,54.23661169719716,60.24096939279666,50.8784528566953,50.8784528566953,45.06650822979014,5.811944626905159,0.5225073009889627,0.9057737352690536,-0.3832664342800909,1.082873932597486,7.456507289475306,0.18289110642519432,-0.9542240916449588,2240242.8571428573,0.38583212321457216,True,0.7533254114895069,0.40165243954319907,0.577488925516353,3M Company,Industrials,158.7100067138672,2020-07-22 00:00:00,16.0,Profit,Above
4,2020-07-07,156.0800018310547,157.10000610351562,154.69000244140625,154.82000732421875,150.864501953125,1571700.0,MMM,48.556461624215984,39.3661806927165,50.622031505772846,50.622031505772846,49.02758348712433,1.5944480186485137,0.3518626975097163,0.7949915277171862,-0.44312883020746985,0.6498090003501815,6.253865741057077,0.13183458738399415,-0.7574076128426793,2170385.714285714,1.9248130645662984,True,0.9513791743562166,0.585059910533949,0.7682195424450828,3M Company,Industrials,157.8000030517578,2020-07-21 00:00:00,14.0,Profit,Above
5,2020-08-06,155.92999267578125,156.49000549316406,154.67999267578125,156.0,152.01434326171875,2885800.0,MMM,50.7146104686349,49.382688916448195,36.945591295444515,36.945591295444515,24.706606733890453,12.238984561554062,-0.7335837166089902,-0.31075973525150025,-0.42282398135749,0.8318716418987161,1.786468921589548,0.20627927971355867,-1.0945867691229796,2776100.0,5.108975141476362,True,0.26466966330547737,0.38628639892684896,0.32547803111616314,3M Company,Industrials,163.97000122070312,2020-08-19 00:00:00,13.0,Profit,Above
6,2020-08-07,155.99000549316406,158.4199981689453,155.07000732421875,158.3300018310547,154.2847900390625,2184300.0,MMM,54.63523673100914,65.3634950785702,53.223584489341704,53.223584489341704,38.1115710143512,15.112013474990505,-0.40559793308909775,-0.32972737481901976,-0.07587055827007799,2.4276299833992723,8.075586120971247,0.3086719381110676,-1.015653169404972,2613471.4285714286,3.562179829737243,True,0.40557855071755994,0.07470124699608562,0.24013989885682277,3M Company,Industrials,163.97000122070312,2020-08-19 00:00:00,12.0,Profit,Below
7,2020-10-06,163.44000244140625,165.6999969482422,161.8300018310547,162.22999572753906,159.52407836914062,2021900.0,MMM,49.48762750873086,35.28021713395779,32.62536740379985,32.62536740379985,23.60996548447956,9.01540191932029,-0.7652336361265952,-0.45562099316755345,-0.3096126429590418,0.7801062601774367,2.932247816880332,0.21476928192805028,-0.9480104607339048,2056957.142857143,4.22240416933748,True,0.31950172577602204,0.3265920111465377,0.32304686846127983,3M Company,Industrials,169.0800018310547,2020-10-15 00:00:00,9.0,Profit,Above
8,2020-11-03,164.86000061035156,166.8300018310547,163.74000549316406,165.50999450683594,162.74935913085938,1896900.0,MMM,51.464432363562295,54.98236205372955,39.116826648444366,39.116826648444366,25.826574266734184,13.290252381710182,-0.6862909968186273,0.007502513649819048,-0.6937935104684463,0.8546445662970356,3.683519607159244,0.20721892417120535,-1.4051687916093212,2746742.8571428573,3.027013432362887,True,0.2086712866632908,0.49374389369539995,0.3512075901793454,3M Company,Industrials,170.52000427246094,2020-12-01 00:00:00,28.0,Profit,Above
9,2020-11-04,162.75,165.3000030517578,159.89999389648438,160.16000366210938,157.4886016845703,3140900.0,MMM,42.75238607506932,23.622505017691612,39.50759838909143,39.50759838909143,34.66847259837518,4.8391257907162455,-0.948672518624079,-0.18373249280496057,-0.7649400258191184,1.6866229443881913,8.676273720554049,0.20216303473647157,-1.2632968609264958,2718471.4285714286,6.4685317017150705,True,0.2334236299187591,0.6055109052183626,0.41946726756856084,3M Company,Industrials,170.52000427246094,2020-12-01 00:00:00,27.0,Profit,Above
