,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept",Security,GICS Sector
0,MMM,2018-02-14,0.3306618136990499,0.592543372867136,0.46160259328309294,232.0,5.232758357607086,[3487914.28571429],41.76038500704401,[ 0.80970835 33.32876019],23.386763726019,[ 0.81556    15.05324172],-2.008745821144973,[ 0.42437284 -3.39004014],3M Company,Industrials
1,MMM,2018-02-15,0.010705598185598398,0.4600021652800311,0.23535388173281474,234.8699951171875,3.94686612388939,[3062114.28571429],47.46398023348683,[ 2.01648945 31.13682907],30.214111963711968,[ 4.61974671 13.73997377],-1.3904419503978966,[ 0.50770254 -3.02268566],3M Company,Industrials
2,MMM,2018-02-16,0.27740315489143264,0.3151003652557645,0.29625176007359855,236.6699981689453,3.156294113532174,[2967285.71428571],49.72052168674466,[ 3.67114893 28.84584819],35.54806309782865,[ 6.33449227 17.3808421 ],-0.7975879817559388,[ 0.56080536 -2.53121884],3M Company,Industrials
3,MMM,2018-02-20,0.5372730334088065,0.2329382564092982,0.38510564490905236,235.07000732421875,3.858421654328687,[2813657.14285714],47.7569477566726,[ 3.38875508 33.12910423],40.74546066817613,[ 6.08064969 23.63566324],-0.4669257065099486,[ 0.60557892 -2.00450417],3M Company,Industrials
4,MMM,2018-02-21,0.7374093913062086,0.2964158388699959,0.5169126150881023,232.17999267578125,5.1511788660310085,[2534057.14285714],44.34993286713757,[ 2.3372515  38.39296069],44.74818782612417,[ 5.26567435 30.23687089],-0.39919605533677416,[ 0.46175812 -1.34674333],3M Company,Industrials
5,MMM,2018-02-22,0.8897442965741789,0.09378270678123496,0.4917635016777069,236.0,3.4491522837493376,[2390357.14285714],49.480297559806566,[ 1.07649605 42.62800556],47.79488593148358,[ 4.60006236 35.74717483],-0.0706902042941473,[ 0.19919596 -0.75376588],3M Company,Industrials
6,MMM,2018-04-05,0.42740702923606244,0.4016321251921849,0.4145195772141237,218.6699981689453,0.649379512889654,[2868414.28571429],41.40667409127235,[ 1.02266647 34.07508597],21.45185941527875,[3.00207709 9.59781497],-0.7434460096434927,[ 0.34071418 -1.85106211],3M Company,Industrials
7,MMM,2018-04-10,0.5361735713360742,0.43912789242554295,0.4876507318808086,216.97999572753906,1.433312135491411,[2823385.71428571],42.36211982302645,[ 0.28863487 37.01937266],19.276528573278515,[ 0.80724445 21.96030771],-0.3373377955470147,[ 0.00359317 -0.76819943],3M Company,Industrials
8,MMM,2018-06-29,0.6657445681007068,0.6890453801900378,0.6773949741453723,196.72000122070312,2.7856830487668476,[2473314.28571429],41.785919514732385,[ 0.45130106 36.66840587],16.685108637985863,[ 1.48550818 14.12390757],-0.49278160611476984,[ 0.02519653 -0.71516568],3M Company,Industrials
9,MMM,2018-07-03,0.566572249381533,0.5492216747301679,0.5578969620558505,195.8300018310547,3.252818800810197,[2235300.],40.296450921118726,[ 0.59197404 37.48349355],18.66855501236934,[ 0.37444751 16.75290246],-0.34454036122189446,[ 0.10325821 -0.62732477],3M Company,Industrials
10,MMM,2018-07-05,0.4818190164610014,0.31637732764741533,0.3990981720542084,197.33999633789062,3.5674514419610057,[2106271.42857143],44.97063155935846,[ 0.4290311  38.40750016],20.363619670779972,[ 0.99172319 16.70047075],-0.15778102996459253,[ 0.07412062 -0.49871156],3M Company,Industrials
11,MMM,2018-07-06,0.3196026775054287,0.0214665339700553,0.170534605737742,197.4600067138672,5.3175324840412905,[2032600.],45.3370211034881,[ 1.20765311 37.38082309],23.607946449891426,[ 1.32035076 17.59801352],-0.009708432786200483,[ 0.1393349  -0.45225898],3M Company,Industrials
12,MMM,2018-10-22,0.2799036658939473,0.6460020196328712,0.4629528427634092,201.36000061035156,1.3458515622033975,[2449228.57142857],41.23215885043175,[ 1.2032916  34.72148179],24.401926682121054,[ 4.14233302 18.21939588],-0.8985121476379825,[ 0.12256224 -1.39088133],3M Company,Industrials
13,MMM,2018-11-01,0.009228251997670078,0.2384957334081535,0.12386199270291179,192.22000122070312,8.729579998301228,[3280000.],40.388205319049355,[ 2.577797   22.98391344],29.8154349600466,[5.11340538 8.84637614],-0.46702973450911855,[ 0.49235136 -1.95823098],3M Company,Industrials
14,MMM,2018-11-02,0.4086497994587461,0.02602006459613904,0.21733493202744256,192.80999755859375,8.396868754944208,[3003728.57142857],41.510295309761354,[ 3.24527984 23.89034191],38.17299598917492,[ 8.75657106 11.91664861],-0.03793604575310461,[ 0.491712   -1.45795356],3M Company,Industrials
15,MMM,2018-12-14,0.025275850868118788,0.9998991526854758,0.5125875017767973,196.10000610351562,-8.9138248048299,[2182771.42857143],44.14529140031155,[ 0.21829773 48.27083843],30.505517017362376,[ 0.90649132 23.91644775],-0.6302734366572547,[ 0.11145636 -0.630337  ],3M Company,Industrials
16,MMM,2018-12-28,0.09620668899982832,0.37472719732560156,0.23546694316271494,189.3699951171875,3.42715618128831,[3410042.85714286],44.32273593028971,[ 1.37431544 33.16553562],28.075866220003434,[4.95994025 3.08743664],-0.8671578927363015,[ 0.49967339 -2.3141045 ],3M Company,Industrials
17,MMM,2018-12-31,0.5539143468162034,0.25110173839652405,0.40250804260636375,190.5399932861328,2.79206860064791,[3201171.42857143],45.824889913564036,[ 2.75813942 30.75890664],41.07828693632407,[11.18084377  4.80714328],-0.46837470952510785,[ 0.51828146 -1.86527864],3M Company,Industrials
18,ALK,2018-01-31,0.16118348028115967,0.6212240261634385,0.3912037532222991,65.7300033569336,1.7647892491587411,[4748557.14285714],41.16742933926809,[ 0.04803836 34.85652434],33.22366960562319,[ 5.23690944 16.13681159],-0.7007716717117227,[ 0.11905776 -1.12804985],Alaska Air Group,Industrials
19,ALK,2018-02-09,0.5426744604621444,0.09189478239814666,0.3172846214301455,64.72000122070312,3.352901928331789,[4286014.28571429],42.81216885244623,[ 0.548399   37.10985574],40.85348920924289,[ 1.57774141 32.10316401],-0.040119512411431524,[ 0.13099553 -0.43658096],Alaska Air Group,Industrials
20,ALK,2018-04-05,0.39209585466619074,0.34697243950978396,0.3695341470879874,62.11000061035156,11.270326728725461,[2484142.85714286],46.254959089875925,[ 0.65526047 35.75703834],22.158082906676185,[3.17544135 5.19925781],-0.19989730820518337,[ 0.09478932 -0.57611869],Alaska Air Group,Industrials
21,ALK,2018-04-06,0.09286739331222318,0.30490703093584964,0.19888721212403643,60.77000045776367,13.723877060663103,[2485400.],42.39284923343811,[ 1.8509104  34.30290128],31.857347866244464,[7.41844072 6.4336172 ],-0.15731079500072487,[ 0.1551851  -0.51593036],Alaska Air Group,Industrials
22,ALK,2018-10-17,0.18842969795562342,0.3251792025583549,0.25680445025698917,64.48999786376953,0.170570032555949,[2306100.],47.68069406727345,[ 2.80086267 27.18841823],26.23140604088753,[5.77992496 3.55806005],-0.30889673522529115,[ 0.19150309 -0.94992771],Alaska Air Group,Industrials
23,ALK,2018-10-18,0.24763344069629376,0.3401337540763861,0.2938835973863399,62.369998931884766,6.124745189900306,[2065714.28571429],41.20652830092101,[ 4.49106791 25.40872053],34.952668813925875,[9.32452224 7.27864086],-0.27144406681820354,[ 0.24616848 -0.79805095],Alaska Air Group,Industrials
24,AAL,2018-02-13,0.30449888686210097,0.640687264408543,0.47259307563532194,50.869998931884766,8.118736298078815,[5790757.14285714],44.69358775643093,[ 0.12335924 37.61169971],23.91002226275798,[ 1.50339536 14.3902666 ],-0.5217466202383677,[ 0.04614191 -0.8143546 ],American Airlines Group,Industrials
25,AAL,2018-02-14,0.29355774903402043,0.4437664904471584,0.3686621197405894,51.06999969482422,7.6953207923634945,[5520028.57142857],45.51132954455601,[ 0.39608705 38.63788983],35.87115498068041,[ 3.80281881 15.33254881],-0.3690919025520657,[ 0.15159486 -0.83172549],American Airlines Group,Industrials
26,AAL,2018-02-15,0.9360031291051613,0.3043820670908911,0.6201925980980262,51.66999816894531,6.444749272424175,[4999785.71428571],47.99551828043218,[ 1.57421831 36.39170625],48.720062582103225,[ 9.3397295  16.31789491],-0.21017308391070177,[ 0.16230853 -0.69049102],American Airlines Group,Industrials
27,AAL,2018-04-03,0.6442676795780912,0.8060559442285157,0.7251618119033034,51.470001220703125,1.3017255742279148,[3631128.57142857],44.31597489804549,[ 0.20071803 38.20724707],17.114646408438176,[2.56229674 8.42600821],-0.43444694417510993,[ 0.01420782 -0.53897865],American Airlines Group,Industrials
28,AAL,2018-04-04,0.4237935052741554,0.616256641067222,0.5200250731706887,52.040000915527344,0.19215694151007764,[3629557.14285714],46.81827047635692,[ 0.5034285  38.80019297],21.524129894516893,[ 3.06129013 10.82385441],-0.3097013050694861,[ 0.02075965 -0.50255248],American Airlines Group,Industrials
29,AAL,2018-04-05,0.04540373930640893,0.38144181326692034,0.21342277628666464,52.13999938964844,-13.214421692180412,[3608185.71428571],47.26595278008685,[ 1.68309148 36.79927053],29.09192521387182,[ 3.9877044  13.40812807],-0.20559834629443502,[ 0.11263199 -0.53900317],American Airlines Group,Industrials
30,AAL,2018-04-06,0.16470743586176617,0.5658075218499271,0.36525747885584664,50.290000915527344,-15.748661442551754,[3802742.85714286],40.47688772487875,[ 1.89720181 37.87384188],33.29414871723532,[ 5.9886394 16.5882611],-0.2438667182252956,[ 0.1144243 -0.4310065],American Airlines Group,Industrials
31,AAL,2018-04-18,0.8920663906383922,0.5158147491199684,0.7039405698791803,47.7599983215332,-11.829978872998133,[7981557.14285714],41.917938256062556,[ 0.58449707 30.67923732],12.158672187232154,[1.35666312 6.6997358 ],-0.3338636294609487,[ 0.05985651 -0.64725491],American Airlines Group,Industrials
32,AAL,2018-07-09,0.4083535525041235,0.22244400675918446,0.31539877963165397,39.310001373291016,1.8061538022612778,[5336785.71428571],40.75190031696072,[ 0.82789238 25.72336751],21.83292894991753,[ 2.03582043 13.67841666],-0.08251647447252952,[ 0.06912823 -0.37095391],American Airlines Group,Industrials
33,AAL,2018-12-28,0.26096851546245203,0.32297097569500577,0.2919697455787289,31.829999923706055,6.723221181672891,[8287814.28571429],41.703770419717884,[ 1.00080705 35.11262062],24.78062969075096,[2.85796032 6.72452136],-0.17579176461095436,[ 0.14556978 -0.54429586],American Airlines Group,Industrials
34,AAL,2018-12-31,0.2298784584707761,0.22491075698218246,0.2273946077264793,32.11000061035156,5.792589769530989,[7889842.85714286],43.03392889327177,[ 1.777802   33.69096092],34.59756916941552,[8.58152699 6.69217314],-0.08460784784157749,[ 0.10308632 -0.37618409],American Airlines Group,Industrials
35,AME,2018-05-07,0.3283757969635445,0.15926592570798792,0.24382086133576622,72.80000305175781,4.7252674008351665,[2773614.28571429],48.168995600941656,[ 1.65953956 29.77735705],23.43248406072911,[3.90770776 6.91558713],-0.08997785861155805,[ 0.1194933 -0.5649536],Ametek,Industrials
36,BA,2018-03-21,0.2386212441110608,0.584051596660406,0.41133642038573337,337.1000061035156,-5.1883774652268455,[7640342.85714286],46.15412583209465,[ 0.41257365 40.98662424],25.227575117778784,[ 1.89329386 14.89083677],-2.221318795247564,[ 0.47711657 -3.80329205],Boeing Company,Industrials
37,BA,2018-04-02,0.3286909231755736,0.5501162716226283,0.43940359739910095,322.44000244140625,5.756108863064058,[5654257.14285714],41.61814522738549,[ 1.39090457 36.13558525],23.426181536488528,[ 1.69396278 14.57108378],-1.3934510693469564,[ 0.4060471  -2.53301191],Boeing Company,Industrials
38,BA,2018-04-03,0.09365739658424133,0.26874179972294954,0.18119959815359543,330.82000732421875,3.077199821776315,[5297242.85714286],47.913566316489906,[ 0.82089526 38.60855874],31.873147931684827,[ 4.04652089 15.01490713],-0.6052107245006519,[ 0.47036752 -2.2520156 ],Boeing Company,Industrials
39,BA,2018-04-04,0.548953686605304,0.148222097714016,0.34858789215966,327.44000244140625,4.141215934977353,[5439842.85714286],45.769774337619324,[ 1.04543261 39.93232072],40.97907373210608,[ 6.7240926  17.85067147],-0.2536630180664483,[ 0.50604817 -1.71137112],Boeing Company,Industrials
40,BA,2018-07-09,0.2695186076946472,0.16948489873768607,0.21950175321616663,341.9200134277344,5.477883637457398,[2629042.85714286],48.72820682738572,[1.75865951e-02 3.86857510e+01],24.609627846107056,[ 0.74624986 16.35028181],-0.3417147567172165,[ 0.40747261 -2.01619589],Boeing Company,Industrials
41,BA,2018-08-17,0.27678619062941634,0.4087871044362025,0.3427866475328094,346.3999938964844,2.127596780324972,[3096814.28571429],50.780225201608644,[ 0.32372489 41.03715094],24.464276187411674,[2.40570888 8.01050261],-0.8758784569885545,[ 0.22380621 -2.14262742],Boeing Company,Industrials
42,BA,2018-08-20,0.6167628980970609,0.06531110512227832,0.3410370016096696,350.739990234375,0.8638874561387023,[3199157.14285714],54.631041822847536,[ 2.16542172 37.45066495],42.33525796194122,[8.1408165 7.3877248],-0.14880054257685815,[ 0.71669003 -2.27833448],Boeing Company,Industrials
43,BA,2018-10-18,0.1431072483584231,0.8950748626502331,0.5190910555043281,359.3500061035156,3.5258056755136082,[4157857.14285714],43.85055062751733,[ 0.78418402 43.69760302],27.13785503283154,[ 1.79096069 17.43483083],-3.0239944939808647,[ 0.2811083 -3.3784822],Boeing Company,Industrials
44,BA,2018-10-19,0.22415299334686284,1.0793360491366508,0.6517445212417569,356.260009765625,4.423729527884702,[3794785.71428571],41.761613419915854,[ 1.0027645  42.45256931],25.516940133062743,[ 5.15306383 16.9080584 ],-3.2052749563656557,[ 2.01856066e-03 -2.96967285e+00],Boeing Company,Industrials
45,BA,2018-10-26,0.15491943769675293,0.49471762982853495,0.3248185337626439,359.2699890136719,3.5488630806607127,[4274100.],46.7005677827674,[ 0.81499535 40.80758841],26.90161124606494,[ 2.23026027 12.87248969],-1.7430550382494239,[ 0.6305505  -3.52333318],Boeing Company,Industrials
46,BA,2018-11-28,0.12274944980759432,0.41241143885803966,0.26758044433281697,333.5,7.934030421312781,[4583628.57142857],44.897512979236865,[ 0.41462733 28.92561413],27.545011003848114,[ 2.09777795 20.60747949],-2.0401818765934934,[ 0.58359183 -4.94695754],Boeing Company,Industrials
47,BA,2018-11-29,0.2358339602276967,0.04486912893102335,0.14035154457936003,342.55999755859375,5.0794004029931035,[4376357.14285714],50.58504647681547,[ 2.63640433 25.78692807],34.716679204553934,[ 2.1999536  22.89112207],-0.2067650961663503,[ 1.20070384 -4.60818164],Boeing Company,Industrials
48,CHRW,2018-02-13,0.20965014031961376,0.6425209335558296,0.42608553693772167,92.72000122070312,2.0599611815884744,[2042385.71428571],53.33892206612542,[ 0.31222827 44.58144862],25.806997193607724,[ 2.24854108 20.64640115],-0.5079891569533266,[ 0.02670225 -0.79061884],C. H. Robinson Worldwide,Industrials
49,CAT,2018-02-15,0.6357161752932978,0.24114894165912173,0.43843255847620977,159.97999572753906,2.3190441386094776,[6790000.],52.89255063981135,[ 2.79456438 33.79869523],42.714323505865956,[ 2.91914121 23.89256536],-0.5587719404225469,[ 0.56291081 -2.31712375],Caterpillar Inc.,Industrials
