,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,RSI,k_fast,d_fast,k_slow,d_slow,d_div,MACD line,Sig Line,MACD_Div,RSI_slope,d_slow_slope,MACD_Div_slope,MACD_Div_intercept,avg_volume,Price_Delta,Vol and RSI criteria,CBI_SS,CBI_MACD,CBI,Security,GICS Sector,Buy_Price,Buy_Date,Sell_Price,Sell_Date,Holding_Period,Profit or Loss,Buy_Slippage,Sell_Slippage,CBI_cutoff,"('Price_Delta_realized', 'RSI_Slope_sell', 'MACD_Div_slope_sell', 'MACD_Div_intercept_sell', 'd_slow_sell')",Price_Delta_realized,RSI_Slope_sell,MACD_Div_slope_sell,MACD_Div_intercept_sell,d_slow_sell,d_div_sell,RSI_sell,Type of Sale,Total_Slippage
0,2018-02-13,229.7100067138672,231.97000122070312,228.92999267578125,231.36000061035156,206.966552734375,2523600.0,MMM,40.448969465675134,31.690332039203973,25.022068195309583,25.022068195309583,17.5451274191213,7.4769407761882825,-3.588190400588104,-1.085171073146542,-2.503019327441562,0.8510284786395729,0.03785298467334039,0.2428123537381143,-3.3805302875148633,4095442.8571428573,0.8237086139838873,True,0.622743629043935,0.7404220978838241,0.6815828634638795,3M Company,Industrials,229.4499969482422,2018-02-14 00:00:00,229.75,2018-03-02 00:00:00,16.0,Profit,-0.8255548310298185,-0.6872985056887041,Above,,0.13074877130004287,-0.0177689914883457,-0.1971274203494887,1.0456419888948014,77.75717410457571,-11.42784400982599,43.7154960345684,Signal,0.13825632534111443
1,2018-02-14,229.4499969482422,232.8699951171875,228.47000122070312,232.0,207.5391082763672,2337800.0,MMM,41.38923540797048,33.229162157025755,30.46407659797826,30.46407659797826,23.386763726019,7.077312871959258,-3.5866521622837695,-1.5854672909739875,-2.001184871309782,1.3143002925232383,2.581612601400133,0.45507680491878816,-3.399008435637047,3487914.285714286,0.1500176191239829,True,0.3306618136990499,0.5887554883148494,0.45970865100694963,3M Company,Industrials,233.30999755859375,2018-02-15 00:00:00,231.22000122070312,2018-03-07 00:00:00,20.0,Loss,0.5646541200835129,-1.0442533609366387,Below,,-0.895802305842355,-2.0602633590834154,-0.11274779924059412,0.20027912394316377,37.93191015099035,-5.502267939384467,47.10342672252134,Signal,-1.6089074810201516
2,2018-02-15,233.30999755859375,234.89999389648438,230.8800048828125,234.8699951171875,211.3453826904297,2127500.0,MMM,47.3416826893959,40.54907909731444,35.15619109784806,35.15619109784806,30.214111963711968,4.94207913413609,-3.315627981474421,-1.9314994290740741,-1.3841285524003468,2.633337648339453,5.404216129019454,0.5389595027371081,-3.0338679609302797,3062114.285714286,0.3830250209851371,True,0.010705598185598398,0.4562257060046639,0.23346565209513115,3M Company,Industrials,234.97000122070312,2018-02-16 00:00:00,235.6699981689453,2018-03-16 00:00:00,28.0,Profit,0.04257934414556756,-0.08479117835349208,Below,,0.297909071202963,-0.49369583245487253,-0.17491857438682407,0.8607041483404831,60.646402861702505,-8.946470989633688,49.25435766827969,Signal,-0.12737052249905964
3,2018-02-16,234.97000122070312,238.44000244140625,233.38999938964844,236.6699981689453,212.96510314941406,2221800.0,MMM,49.68350122926917,49.29352353863877,41.02392159765966,41.02392159765966,35.54806309782865,5.475858499831006,-2.921912177777301,-2.1295819788147194,-0.7923301989625817,3.7309329968444493,6.083615527381505,0.5749123704346377,-2.532534293180524,2967285.714285714,0.5670682481141368,True,0.27740315489143264,0.31286060018856493,0.2951318775399988,3M Company,Industrials,234.5399932861328,2018-02-20 00:00:00,235.6699981689453,2018-03-16 00:00:00,24.0,Profit,-0.8999893942163342,-0.08479117835349208,Below,,0.4817962459110003,-0.49369583245487253,-0.17491857438682407,0.8607041483404831,60.646402861702505,-8.946470989633688,49.25435766827969,Signal,0.8151982158628421
4,2018-02-20,234.5399932861328,236.6699981689453,233.91000366210938,235.07000732421875,211.52537536621094,2675900.0,MMM,47.65480079457072,48.32620529110878,46.05626930902066,46.05626930902066,40.74546066817613,5.310808640844527,-2.7077818328329215,-2.24522194961836,-0.46255988321456165,2.9128962561216007,5.74100419605881,0.5207673317723424,-1.941201874130331,2813657.1428571427,0.4942219633330094,True,0.5372730334088065,0.2382853063243569,0.3877791698665817,3M Company,Industrials,234.7100067138672,2018-02-21 00:00:00,235.6699981689453,2018-03-16 00:00:00,23.0,Profit,-0.15314612631760974,-0.08479117835349208,Below,,0.40901172835312544,-0.49369583245487253,-0.17491857438682407,0.8607041483404831,60.646402861702505,-8.946470989633688,49.25435766827969,Signal,0.06835494796411766
5,2018-02-21,234.7100067138672,237.86000061035156,232.10000610351562,232.17999267578125,208.92481994628906,2561400.0,MMM,44.14817894614376,43.87338888532909,47.16437257169221,47.16437257169221,44.74818782612417,2.4161847455680387,-2.7397004595144665,-2.3441176515975815,-0.39558280791688505,1.5466632521419883,4.879962515758411,0.3295407549198406,-1.2529614930033546,2534057.1428571427,0.16349218895453493,True,0.7374093913062086,0.31571824842651086,0.5265638198663598,3M Company,Industrials,232.42999267578125,2018-02-22 00:00:00,234.0500030517578,2018-03-06 00:00:00,12.0,Profit,0.10767508307621614,0.5326255341985376,Below,,0.6969885242978646,-2.0539555733013306,-0.29440015849865775,0.6779637620776402,49.2318061120383,-13.546214055517389,45.98275814826274,Signal,0.4249504511223215
6,2018-02-22,232.42999267578125,237.3699951171875,232.25999450683594,236.0,212.36221313476562,2284500.0,MMM,49.44366292826471,58.29245356477571,50.16401591373786,50.16401591373786,47.79488593148358,2.369129982254286,-2.4287563439054907,-2.3610453900591635,-0.0677109538463272,1.1719673417603595,4.074319565891287,0.22408348106464396,-0.7656711825820547,2390357.1428571427,0.15621494939957617,True,0.8897442965741789,0.08843346254457057,0.48908887955937475,3M Company,Industrials,236.85000610351562,2018-02-23 00:00:00,236.00999450683594,2018-03-19 00:00:00,24.0,Loss,0.3601720777608581,-0.5100778634350608,Below,,-0.3546597319117481,-0.7560525157446967,-0.1255774582488118,0.6683459524367984,53.91425250234895,-2.6409903161044923,51.14062045746351,Signal,-0.8702499411959188
7,2018-04-05,218.63999938964844,220.30999755859375,216.55999755859375,218.6699981689453,196.76795959472656,2879900.0,MMM,41.379800548932714,32.055741904201376,27.74181911221918,27.74181911221918,21.45185941527875,6.289959696940429,-5.3364464258827695,-4.5929124826316325,-0.743533943251137,1.1577138724923492,3.856421043588971,0.3663594029674445,-1.8682544243920831,2868414.285714286,,True,0.42740702923606244,0.3979832369421942,0.4126951330891283,3M Company,Industrials,217.39999389648438,2018-04-06 00:00:00,190.33999633789062,2018-12-31 00:00:00,269.0,Loss,-0.5807857882176077,,Below,,-12.447101342366388,,,,,,,Force,
8,2018-06-29,196.47000122070312,199.4199981689453,196.4600067138672,196.72000122070312,178.22715759277344,2671600.0,MMM,41.78523721184659,24.3863867008167,17.279625189039056,17.279625189039056,16.685108637985863,0.5945165510531929,-1.9127814011637554,-1.4199985858361828,-0.4927828153275726,0.7095955482872729,0.9169111377642108,0.069234978627201,-0.7445260937159949,2473314.285714286,1.7292486994392595,True,0.6657445681007068,0.6618744722136607,0.6638095201571838,3M Company,Industrials,195.4600067138672,2018-07-02 00:00:00,192.94000244140625,2018-07-24 00:00:00,22.0,Loss,-0.6405014736769602,-2.9672068020251126,Above,,-1.2892684876195455,-0.7836249614159343,-0.11448765652488158,0.7760729285806045,82.47183177340627,-9.830510708069653,46.6922465694279,Signal,-2.3267053283481522
9,2018-07-03,196.49000549316406,198.9499969482422,195.5,195.8300018310547,177.42080688476562,1228900.0,MMM,40.2956569575872,18.181861666507224,19.44022131393339,19.44022131393339,18.66855501236934,0.7716663015640499,-1.9597883232402182,-1.615246925092647,-0.34454139814757134,0.5128866797682736,0.6121405160784348,0.09516123304113573,-0.621928031683793,2235300.0,0.8981524067028102,True,0.566572249381533,0.5539891765527408,0.560280712967137,3M Company,Industrials,197.07000732421875,2018-07-05 00:00:00,192.94000244140625,2018-07-24 00:00:00,19.0,Loss,0.6332050664197169,-2.9672068020251126,Below,,-2.09570443462654,-0.7836249614159343,-0.11448765652488158,0.7760729285806045,82.47183177340627,-9.830510708069653,46.6922465694279,Signal,-3.600411868444829
